profession,platform,usage_score
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,3
11,social_media_sleep,4
6,social_media_sleep,4
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,2
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,2
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,1
0,social_media_sleep,5
0,social_media_sleep,5
0,social_media_sleep,4
0,social_media_sleep,5
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,4
0,social_media_sleep,4
7,social_media_sleep,3
7,social_media_sleep,4
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,4
0,social_media_sleep,4
0,social_media_sleep,2
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,2
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,3
1,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,4
0,social_media_sleep,4
0,social_media_sleep,2
0,social_media_sleep,3
0,social_media_sleep,1
7,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,5
0,social_media_sleep,4
0,social_media_sleep,1
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,5
0,social_media_sleep,4
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,1
0,social_media_sleep,4
0,social_media_sleep,3
0,social_media_sleep,2
0,social_media_sleep,3
0,social_media_sleep,1
7,social_media_sleep,4
0,social_media_sleep,1
0,social_media_sleep,1
0,social_media_sleep,1
0,social_media_sleep,1
0,social_media_sleep,4
0,social_media_sleep,2
0,social_media_sleep,1
0,social_media_sleep,2
0,social_media_sleep,1
0,social_media_sleep,5
0,social_media_sleep,1
12,social_media_sleep,5
0,social_media_sleep,1
8,social_media_sleep,2
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,2
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,4
0,social_media_sleep,2
7,social_media_sleep,4
0,social_media_sleep,3
7,social_media_sleep,3
0,social_media_sleep,2
0,social_media_sleep,1
0,social_media_sleep,5
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,3
6,social_media_sleep,4
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,2
7,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,1
0,social_media_sleep,2
7,social_media_sleep,5
0,social_media_sleep,1
0,social_media_sleep,5
7,social_media_sleep,5
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,3
6,social_media_sleep,2
0,social_media_sleep,1
0,social_media_sleep,2
0,social_media_sleep,1
0,social_media_sleep,1
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,1
0,social_media_sleep,5
7,social_media_sleep,5
0,social_media_sleep,1
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,2
3,social_media_sleep,5
0,social_media_sleep,1
0,social_media_sleep,2
0,social_media_sleep,4
0,social_media_sleep,5
7,social_media_sleep,5
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,2
0,social_media_sleep,1
7,social_media_sleep,2
0,social_media_sleep,1
0,social_media_sleep,5
0,social_media_sleep,1
7,social_media_sleep,5
0,social_media_sleep,1
7,social_media_sleep,1
7,social_media_sleep,5
0,social_media_sleep,3
7,social_media_sleep,5
0,social_media_sleep,4
7,social_media_sleep,1
7,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,4
7,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,5
0,social_media_sleep,4
0,social_media_sleep,2
0,social_media_sleep,5
0,social_media_sleep,4
0,social_media_sleep,2
0,social_media_sleep,2
0,social_media_sleep,1
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,2
6,social_media_sleep,2
0,social_media_sleep,5
10,social_media_sleep,2
0,social_media_sleep,2
0,social_media_sleep,3
6,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,5
0,social_media_sleep,1
0,social_media_sleep,4
0,social_media_sleep,1
0,social_media_sleep,4
0,social_media_sleep,1
0,social_media_sleep,5
0,social_media_sleep,5
0,social_media_sleep,5
0,social_media_sleep,3
0,social_media_sleep,2
0,social_media_sleep,3
0,social_media_sleep,4
0,social_media_sleep,3
8,social_media_sleep,5
0,social_media_sleep,2
0,social_media_sleep,2
8,social_media_sleep,3
0,social_media_sleep,3
0,social_media_sleep,1
7,social_media_sleep,5
0,social_media_sleep,1
