date,depression,anxiety,social media
2020-01-01,41,45,21
2020-01-02,45,49,28
2020-01-03,42,48,27
2020-01-04,40,46,21
2020-01-05,45,48,23
2020-01-06,47,54,31
2020-01-07,48,55,34
2020-01-08,50,51,34
2020-01-09,48,52,36
2020-01-10,44,48,32
2020-01-11,38,45,21
2020-01-12,46,48,25
2020-01-13,50,51,34
2020-01-14,51,55,35
2020-01-15,51,52,34
2020-01-16,51,51,34
2020-01-17,47,48,31
2020-01-18,40,44,23
2020-01-19,43,46,24
2020-01-20,45,47,30
2020-01-21,51,52,35
2020-01-22,52,53,34
2020-01-23,52,53,36
2020-01-24,47,48,31
2020-01-25,41,45,22
2020-01-26,43,47,26
2020-01-27,54,53,37
2020-01-28,53,54,35
2020-01-29,52,54,37
2020-01-30,52,53,36
2020-01-31,46,50,32
2020-02-01,40,45,22
2020-02-02,44,47,24
2020-02-03,52,54,35
2020-02-04,54,54,38
2020-02-05,51,53,35
2020-02-06,52,53,37
2020-02-07,50,52,33
2020-02-08,40,46,23
2020-02-09,47,48,26
2020-02-10,57,58,37
2020-02-11,57,55,40
2020-02-12,60,54,38
2020-02-13,51,51,37
2020-02-14,45,45,30
2020-02-15,41,41,25
2020-02-16,46,49,30
2020-02-17,50,54,36
2020-02-18,57,57,40
2020-02-19,57,57,38
2020-02-20,55,54,38
2020-02-21,49,52,32
2020-02-22,42,46,26
2020-02-23,49,51,28
2020-02-24,60,57,38
2020-02-25,58,56,39
2020-02-26,52,53,38
2020-02-27,54,51,39
2020-02-28,48,49,34
2020-02-29,41,44,25
2020-03-01,45,47,29
2020-03-02,55,56,41
2020-03-03,56,53,43
2020-03-04,54,53,39
2020-03-05,56,54,39
2020-03-06,51,49,33
2020-03-07,44,44,25
2020-03-08,48,46,28
2020-03-09,53,53,36
2020-03-10,54,51,36
2020-03-11,51,49,34
2020-03-12,50,46,32
2020-03-13,43,46,29
2020-03-14,38,43,22
2020-03-15,39,45,23
2020-03-16,44,47,27
2020-03-17,48,47,28
2020-03-18,53,47,30
2020-03-19,51,46,30
2020-03-20,49,49,27
2020-03-21,49,46,24
2020-03-22,52,51,26
2020-03-23,56,51,30
2020-03-24,52,52,31
2020-03-25,47,49,31
